'CruxFQRigidity.rigidity_capstone' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.guinand_antichain' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.guinand_antichain_measure' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.guinand_antichain_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.antichain_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_partner_no_added_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_partner_no_deleted_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_partner_implies_rh' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_positive_partner_iff_rh' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zetaZeroMeasure_extremal_of_rh' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_partners_antichain' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.antichain_negative_controls' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.integral_gwHat_volume' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.measure_eq_of_integral_test_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.fourier_decay' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.gwHat_testFn' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.window_partner_weil_positivity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.all_windows_implies_rh' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.all_windows_iff_rh' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.offInteger_mass_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.poisson_defect_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.fejer_defect_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.fourier_tri' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.bohr_mean' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.unimodular_powerSum_coeff_eq_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zeta_bragg_not_unimodular' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.leeYang_powerSum_not_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.unimodular_powerSum_frequently_large' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.leeYang_powerSum_frequently_large' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.ks_real_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.PLY_leeYang' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.PLY_real_zeros' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.PLY_not_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.local_zero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.local_zero_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.local_dictionary' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.quadratic_leeYang_fails' depends on axioms: [propext, Classical.choice, Quot.sound]
'CruxFQRigidity.zoo_local_factors_not_leeYang' depends on axioms: [propext, Classical.choice, Quot.sound]
